library,scenario,method,stratum,n,truth_in_library_n,top1_correct_k,truth_set_covered_k,set_coverage,set_coverage_low95,set_coverage_high95,mean_set_size,median_set_size,empty_k,singleton_k,multiple_k,unique_k,unique_rate,unique_rate_low95,unique_rate_high95,correct_unique_k,wrong_unique_k,false_unique_rate,false_unique_low95,false_unique_high95,unique_accuracy,selective_error,selective_error_low95,selective_error_high95,rejected_k,low_confidence_k,ambiguous_k,domain_rejected_k,mean_decision_time_s
scale_large,in_domain,M3_pooled_empirical,class_012,50,50,35,50,1,0.928652400866641,1,17.28,18,0,0,50,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,0,0,50,0,9.04e-05
scale_large,in_domain,M3_pooled_empirical,class_013,50,50,28,50,1,0.928652400866641,1,12.24,12,0,0,50,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,0,0,50,0,9.194e-05
scale_large,in_domain,M3_pooled_empirical,class_014,50,50,50,50,1,0.928652400866641,1,15.76,16,0,0,50,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,0,0,50,0,0.00010632
scale_large,in_domain,M3_pooled_empirical,class_015,50,50,27,50,1,0.928652400866641,1,13.02,13,0,0,50,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,2,0,48,2,9.002e-05
scale_large,in_domain,M3_pooled_empirical,class_016,50,50,13,50,1,0.928652400866641,1,16.66,16,0,0,50,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,0,0,50,0,9.174e-05
scale_large,in_domain,M3_pooled_empirical,class_017,50,50,50,50,1,0.928652400866641,1,13,13,0,0,50,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,1,0,49,1,8.892e-05
scale_large,in_domain,M3_pooled_empirical,class_018,50,50,22,50,1,0.928652400866641,1,9.02,11,0,0,50,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,0,0,50,0,8.89e-05
scale_large,in_domain,M3_pooled_empirical,class_019,50,50,26,50,1,0.928652400866641,1,17.24,18,0,0,50,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,0,0,50,0,9.754e-05
scale_large,in_domain,M3_pooled_empirical,class_020,50,50,50,50,1,0.928652400866641,1,13.84,13,0,0,50,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,1,0,49,1,9.37e-05
scale_large,in_domain,M3_pooled_empirical,class_021,50,50,16,50,1,0.928652400866641,1,17.36,18,0,0,50,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,0,0,50,0,9.216e-05
