scenario,feature,sample_count,strict_accuracy,group_accuracy,numeric_tie_rate,mean_distance_gap,group_intra_distance,group_inter_distance,intra_inter_ratio,d_intra_ge_inter,sample_d_intra_ge_inter_rate
all_line_length_+1percent,phase_weighted,6,0.83333333333333337,1,0.33333333333333331,0.051689208892465234,0.10520587373682823,0.1922036218475385,0.54736675992651473,0,0
all_line_length_+1percent,complex,6,0.83333333333333337,1,0.33333333333333331,0.0024470618889434739,0.00836145751034547,0.012053237364027275,0.69371051592330935,0,0
all_line_length_+1percent,cir,6,0.83333333333333337,1,0.33333333333333331,0.0016190308497736556,0.0055321272091593049,0.0079746912900638331,0.69371051592330957,0,0
all_line_length_+1percent,amp_phase_joint,6,0.83333333333333337,1,0.33333333333333331,0.045200900971725015,0.077466602729368478,0.14896267751447176,0.52004034850838776,0,0
all_line_length_-2percent,amplitude,6,0.83333333333333337,1,0.33333333333333331,0.0017408403956819536,0.0038363721281918979,0.0063417723374224353,0.6049369047125337,0,0
all_line_length_-2percent,amplitude_raw_db,6,0.66666666666666663,1,0.33333333333333331,1.8211120202813351,2.0182715678243732,4.4371980416367878,0.45485271310538034,0,0
all_line_length_-2percent,amplitude_db_standardized,6,1,1,0.33333333333333331,0.15269545367231349,0.43219098843830578,0.61329834055994958,0.70469942580263567,0,0
all_line_length_-2percent,phase,6,0.33333333333333331,0.33333333333333331,0.16666666666666666,0.033346464395758481,0.21902233454112088,0.22411664145783239,0.97726939470637209,0,0.66666666666666663
all_line_length_-2percent,phase_masked,6,0.33333333333333331,0.33333333333333331,0.16666666666666666,0.034497316031525178,0.21961800546544977,0.22356146074639457,0.98236075543710011,0,0.66666666666666663
all_line_length_-2percent,phase_weighted,6,0.5,0.5,0,0.040422322370874141,0.20894049538860546,0.20885845282338869,1.0003928141959673,1,0.5
all_line_length_-2percent,complex,6,0.66666666666666663,1,0.33333333333333331,0.00083770710592729876,0.016038556220390344,0.017564419158250917,0.91312761759367389,0,0
all_line_length_-2percent,cir,6,0.83333333333333337,1,0.33333333333333331,0.00055424574821704949,0.010611467337204314,0.01162101236754645,0.91312761759367433,0,0
all_line_length_-2percent,amp_phase_joint,6,0.33333333333333331,0.33333333333333331,0.16666666666666666,0.023552181929265101,0.15489606918850773,0.15856389060977683,0.97686849504534712,0,0.66666666666666663
all_line_length_+2percent,amplitude,6,0.83333333333333337,1,0.33333333333333331,0.0018207457142938345,0.0037705807318848066,0.0064225859163982131,0.58708140007247245,0,0
all_line_length_+2percent,amplitude_raw_db,6,0.83333333333333337,1,0.33333333333333331,1.7921193500898411,1.9735459135985127,4.4080682624586318,0.44771219411601249,0,0
all_line_length_+2percent,amplitude_db_standardized,6,0.83333333333333337,1,0.33333333333333331,0.14598129487899222,0.42500443976361318,0.60590092392647932,0.70144213844305625,0,0
all_line_length_+2percent,phase,6,0.33333333333333331,0.33333333333333331,0.16666666666666666,0.04010378914435523,0.21754504609485095,0.24591392403046783,0.88463899290183312,0,0.66666666666666663
all_line_length_+2percent,phase_masked,6,0.33333333333333331,0.33333333333333331,0.16666666666666666,0.041200940694405414,0.21809456015257345,0.24580548524202572,0.88726482217364899,0,0.66666666666666663
all_line_length_+2percent,phase_weighted,6,0.5,0.66666666666666663,0.5,0.038278077438185294,0.20714182529684311,0.23101860391448584,0.89664564579188177,0,0.33333333333333331
