sample,error_type,prior_error_rate,prior_error_applied,candidate_count,generation_time,coverage,false_unique,decision_state,best_is_truth,candidate_set_size,distance,margin,confidence,entropy
wrong_open_rate_10_r01,wrong_open,10,1,4,0.035505,0,0,REJECTED,0,0,0.13735002625162,0,0.341996067977527,0.916769649323836
wrong_open_rate_10_r02,wrong_open,10,1,4,0.035505,0,0,REJECTED,0,0,0.143758073182145,0,0.338049373359953,0.913035971803333
wrong_open_rate_10_r03,wrong_open,10,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0642609079174032,0.0702425943234381,0.579875697596755,0.716816595306327
wrong_open_rate_10_r04,wrong_open,10,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0501347767005488,0.0834581029440882,0.666647906144186,0.61935930897043
wrong_open_rate_10_r05,wrong_open,10,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0421629537249159,0.0855021681300398,0.676850415392723,0.604863774167686
wrong_open_rate_10_r06,wrong_open,10,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0620865212562621,0.073467775477001,0.600449420238966,0.694336083541645
wrong_open_rate_10_r07,wrong_open,10,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0387074782760398,0.0837078822956542,0.676808151389322,0.603775970592633
wrong_open_rate_10_r08,wrong_open,10,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0311427378126718,0.0964619603011989,0.734881919630894,0.528586074036975
wrong_open_rate_10_r09,wrong_open,10,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0543804142762786,0.0738363860465691,0.60701433405318,0.686424620553638
wrong_open_rate_10_r10,wrong_open,10,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0299611580140295,0.0928184652440808,0.729176832061724,0.536279563286531
wrong_open_rate_10_r11,wrong_open,10,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0416434832612681,0.0768903950382616,0.639657843037658,0.647329296553925
wrong_open_rate_10_r12,wrong_open,10,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0688418557807184,0.0683449972752026,0.569858718344856,0.727033352163773
wrong_open_rate_10_r13,wrong_open,10,0,7,0.264442,1,0,REJECTED,1,0,0.0903158249919958,0.0551843687561358,0.46994090750759,0.817599019006681
wrong_open_rate_10_r14,wrong_open,10,0,7,0.264442,1,0,REJECTED,1,0,0.0887212340269646,0.0502988031279396,0.450564742059913,0.83257048862566
wrong_open_rate_10_r15,wrong_open,10,0,7,0.264442,1,0,REJECTED,1,0,0.0965713727089994,0.051278049378293,0.452517507981481,0.831058592873008
wrong_open_rate_10_r16,wrong_open,10,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0763831465367913,0.0616746133115226,0.523580231259889,0.770982743173433
wrong_open_rate_10_r17,wrong_open,10,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0405035618716667,0.0887723030297841,0.701673129795184,0.573858970748285
wrong_open_rate_10_r18,wrong_open,10,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0404907689065933,0.0868988073011163,0.687966342117928,0.590446202604854
wrong_open_rate_10_r19,wrong_open,10,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0527748762819285,0.0805338237044442,0.647693053218623,0.640057480154585
wrong_open_rate_10_r20,wrong_open,10,0,7,0.264442,1,0,REJECTED,1,0,0.0932110992772099,0.0490050672148939,0.446071925460077,0.835976883432815
wrong_open_rate_20_r01,wrong_open,20,1,4,0.035505,0,0,REJECTED,0,0,0.145117323420837,0,0.340423189602377,0.925593677010788
wrong_open_rate_20_r02,wrong_open,20,1,4,0.035505,0,0,REJECTED,0,0,0.1224429768902,1.38777878078145e-17,0.34990055227342,0.903528594300986
wrong_open_rate_20_r03,wrong_open,20,1,4,0.035505,0,0,REJECTED,0,0,0.133195652170622,2.77555756156289e-17,0.341253231663578,0.918221579271506
wrong_open_rate_20_r04,wrong_open,20,1,4,0.035505,0,0,REJECTED,0,0,0.130199829671355,0,0.34556916378448,0.922745145034807
wrong_open_rate_20_r05,wrong_open,20,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0760315738978494,0.0645425952326732,0.533526298672215,0.76184195981589
wrong_open_rate_20_r06,wrong_open,20,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0567702939976787,0.0721101199458209,0.603965019734962,0.690088359367318
wrong_open_rate_20_r07,wrong_open,20,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0598717875785908,0.0683514077314656,0.571145143139086,0.723411711652776
wrong_open_rate_20_r08,wrong_open,20,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0795163932898046,0.0666160576838531,0.548979924491778,0.747820797266185
wrong_open_rate_20_r09,wrong_open,20,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0351326607981264,0.0919058820935503,0.714830856135804,0.556031638513559
wrong_open_rate_20_r10,wrong_open,20,0,7,0.264442,1,0,REJECTED,1,0,0.0984395740647846,0.0524387138473759,0.457287237913357,0.828239777939401
wrong_open_rate_20_r11,wrong_open,20,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0342513088560245,0.095936228213435,0.732676090356012,0.531692742109927
wrong_open_rate_20_r12,wrong_open,20,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.029641875250258,0.100780365860932,0.751879408534475,0.505055956735954
wrong_open_rate_20_r13,wrong_open,20,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0286398992732162,0.097415151099273,0.744869432010044,0.513509694947658
wrong_open_rate_20_r14,wrong_open,20,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0306040561442407,0.0913428579134604,0.719445007443406,0.548689133538657
wrong_open_rate_20_r15,wrong_open,20,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0305118094925537,0.09299093173806,0.718037095562433,0.550722624033832
